filepath,label,chain,store_id,brand,width,height,aspect_ratio,megapixels,brightness,contrast,edge_density
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_0.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT682,GIRASOLI,1280,720,1.7777777777777777,0.9216,0.4373016655445099,0.26943913102149963,0.24999891493055557
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_1.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT263,ALESOL - NATURELLA,1280,720,1.7777777777777777,0.9216,0.5805923342704773,0.2316383272409439,0.24999674479166667
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_2.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT661,ALESOL - NATURELLA,1280,720,1.7777777777777777,0.9216,0.5462369322776794,0.2414793074131012,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_3.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT404,GIRASOLI,1280,720,1.7777777777777777,0.9216,0.4945639669895172,0.22395145893096924,0.24999891493055557
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_4.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT110,ALESOL - NATURELLA,4080,3060,1.3333333333333333,12.4848,0.48280948400497437,0.2635866403579712,0.24999287133153916
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_5.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT1512,ALESOL - NATURELLA,4080,3060,1.3333333333333333,12.4848,0.49929165840148926,0.21658647060394287,0.24999951941560938
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_6.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT119,ALESOL - NATURELLA,3264,2448,1.3333333333333333,7.990272,0.4738115072250366,0.2240864485502243,0.24999924908688967
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_7.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT403,ALESOL - NATURELLA,960,720,1.3333333333333333,0.6912,0.4838058054447174,0.24899359047412872,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_8.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT115,GIRASOLI,3264,2448,1.3333333333333333,7.990272,0.45033693313598633,0.2511809468269348,0.2499991239347046
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_9.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT100,GIRASOLI,960,720,1.3333333333333333,0.6912,0.4817013442516327,0.25521591305732727,0.24999855324074075
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_10.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT456,ALESOL - NATURELLA,1280,720,1.7777777777777777,0.9216,0.4609512686729431,0.24656403064727783,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_10.jpg,CABECERA,CORPORACION FAVORITA S.A,UTT39,GIRASOLI,1280,720,1.7777777777777777,0.9216,0.4609512686729431,0.24656403064727783,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_11.jpg,CABECERA,CORPORACION EL ROSADO S.A.,UTT308,ALESOL - NATURELLA,960,720,1.3333333333333333,0.6912,0.5330066084861755,0.25039079785346985,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_12.jpg,CHECK_OUT,GERARDO ORTIZ CORAL,UTT176,CHOCOLATES,1280,720,1.7777777777777777,0.9216,0.3549400568008423,0.24578416347503662,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_13.jpg,CHECK_OUT,GERARDO ORTIZ CORAL,UTT176,GILLETTE,1280,720,1.7777777777777777,0.9216,0.4135965406894684,0.24845625460147858,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_14.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT176,H&S-PANTENE,1280,720,1.7777777777777777,0.9216,0.4864262640476227,0.22688885033130646,0.24999891493055557
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_15.jpg,CHECK_OUT,GERARDO ORTIZ CORAL,UTT387,GILLETTE - ORAL B,1280,720,1.7777777777777777,0.9216,0.5097686052322388,0.2872787415981293,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_16.jpg,CHECK_OUT,GERARDO ORTIZ CORAL,UTT387,CHOCOLATES,1280,720,1.7777777777777777,0.9216,0.39836692810058594,0.2632442116737366,0.24999674479166667
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_17.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT387,GIRASOLI,1280,720,1.7777777777777777,0.9216,0.5017011165618896,0.25485479831695557,0.2499978298611111
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_18.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT387,PANTENE - H&S ,1280,720,1.7777777777777777,0.9216,0.5492590069770813,0.23237666487693787,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_19.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT387,GILLETTE-OLD SPICE,1280,720,1.7777777777777777,0.9216,0.4941263496875763,0.2663588225841522,0.24999674479166667
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_20.jpg,CHECK_OUT,GERARDO ORTIZ CORAL,UTT676,GILLETTE,1280,720,1.7777777777777777,0.9216,0.508206307888031,0.27630409598350525,0.24999891493055557
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_21.jpg,CHECK_OUT,GERARDO ORTIZ CORAL,UTT676,CHOCOLATES,1280,720,1.7777777777777777,0.9216,0.46840423345565796,0.2497689127922058,0.24999565972222224
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_22.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT676,GIRASOLI,1280,720,1.7777777777777777,0.9216,0.5339096188545227,0.2608574628829956,0.2499978298611111
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_23.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT676,H&S,1280,720,1.7777777777777777,0.9216,0.5058262944221497,0.22422103583812714,0.24999891493055557
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_24.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT676,GILLETTE,1280,720,1.7777777777777777,0.9216,0.47686195373535156,0.2722153067588806,0.24999891493055557
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CABECERA\img_25.jpg,CABECERA,GERARDO ORTIZ CORAL,UTT676,ORAL B,1280,720,1.7777777777777777,0.9216,0.5470975041389465,0.24760811030864716,0.25
C:\Users\sebas\Downloads\proyecto_final_clasificador (1)\proyecto_final_clasificador\data\data\raw\CHECK_OUT\img_26.jpg,CHECK_OUT,GERARDO ORTIZ CORAL,UTT1571,CHOCOLATES,1280,720,1.7777777777777777,0.9216,0.4196568429470062,0.24699810147285461,0.25
