store_id,count
UTT609,39
UTT601,38
UTT213,36
UTT281,36
UTT450,36
UTT306,36
UTT2,35
UTT151,35
UTT4,35
UTT676,32
UTT387,31
UTT3,31
UTT172,30
UTT667,30
UTT472,29
UTT518,29
UTT6,29
UTT92,28
UTT673,28
UTT70,28
UTT189,27
UTT132,27
UTT131,27
UTT1,27
UTT469,27
UTT129,27
UTT127,26
UTT5,26
UTT1571,26
UTT35,25
UTT374,25
UTT130,25
UTT125,24
UTT440,24
UTT278,24
UTT2378,24
UTT36,24
UTT128,23
UTT2394,23
UTT126,23
UTT48,22
UTT226,22
UTT58,22
UTT93,22
UTT55,22
UTT234,22
UTT69,22
UTT78,22
UTT205,22
UTT654,22
UTT1658,22
UTT81,22
UTT139,22
UTT56,22
UTT317,22
UTT75,22
UTT675,22
UTT304,22
UTT63,22
UTT2497,22
UTT174,22
UTT199,22
UTT64,21
UTT647,21
UTT486,21
UTT503,21
UTT220,21
UTT181,21
UTT47,21
UTT91,21
UTT191,21
UTT79,21
UTT155,21
UTT314,21
UTT439,20
UTT173,20
UTT177,19
UTT505,18
UTT82,18
UTT470,17
UTT546,17
UTT547,17
UTT271,17
UTT176,17
UTT84,17
UTT175,17
UTT277,17
UTT76,16
UTT272,16
UTT133,16
UTT202,16
UTT323,16
UTT303,16
UTT57,15
UTT153,15
UTT229,15
UTT233,15
UTT540,15
UTT68,15
UTT197,15
UTT51,15
UTT442,15
UTT192,15
UTT239,15
UTT45,15
UTT327,15
UTT74,15
UTT85,15
UTT65,15
UTT182,15
UTT207,15
UTT276,14
UTT305,14
UTT160,14
UTT331,14
UTT249,14
UTT215,14
UTT52,14
UTT240,14
UTT685,14
UTT285,14
UTT260,13
UTT484,13
UTT506,13
UTT99,13
UTT77,13
UTT313,13
UTT539,13
UTT275,13
UTT38,12
UTT274,12
UTT279,12
UTT607,12
UTT611,11
UTT456,11
UTT100,11
UTT358,11
UTT212,10
UTT525,10
UTT110,10
UTT404,9
UTT1488,9
UTT94,9
UTT316,9
UTT449,8
UTT180,8
UTT103,8
UTT483,8
UTT251,8
UTT230,8
UTT46,8
UTT636,8
UTT532,8
UTT603,8
UTT188,8
UTT504,8
UTT677,8
UTT178,8
UTT464,8
UTT217,8
UTT252,8
UTT379,8
UTT83,8
UTT245,8
UTT386,8
UTT179,8
UTT538,8
UTT460,8
UTT232,8
UTT312,7
UTT208,7
UTT536,7
UTT369,7
UTT471,7
UTT183,7
UTT307,7
UTT49,7
UTT210,7
UTT273,7
UTT1487,7
UTT403,7
UTT88,7
UTT1512,7
UTT244,7
UTT115,7
UTT308,7
UTT661,7
UTT682,7
UTT263,7
UTT544,7
UTT311,7
UTT152,7
UTT487,7
UTT537,7
UTT533,7
UTT247,7
UTT203,7
UTT371,7
UTT2425,7
UTT495,7
UTT513,7
UTT414,6
UTT248,6
UTT319,6
UTT514,6
UTT397,6
UTT222,6
UTT481,6
UTT542,6
UTT523,6
UTT119,6
UTT196,6
UTT227,6
UTT96,5
UTT526,5
UTT669,5
UTT530,5
UTT60,5
UTT664,5
UTT246,5
UTT519,5
UTT441,5
UTT2406,5
UTT221,4
UTT508,4
UTT42,4
UTT321,4
UTT54,4
UTT1573,3
UTT109,3
UTT596,3
UTT104,3
UTT89,3
UTT204,3
UTT105,2
UTT95,2
UTT264,2
UTT107,2
UTT86,2
UTT190,2
UTT645,2
UTT509,2
UTT120,1
UTT39,1
UTT97,1
UTT102,1
UTT480,1
UTT262,1
UTT512,1
UTT140,1
UTT298,1
UTT21,1
UTT31,1
UTT384,1
UTT436,1
UTT430,1
UTT396,1
UTT44,1
UTT493,1
UTT296,1
UTT426,1
UTT429,1
UTT2600,1
UTT218,1
UTT184,1
UTT73,1
UTT330,1
UTT333,1
UTT206,1
UTT223,1
UTT62,1
UTT326,1
UTT309,1
UTT242,1
UTT310,1
UTT87,1
UTT243,1
UTT231,1
UTT211,1
UTT328,1
UTT238,1
UTT368,1
UTT375,1
UTT366,1
UTT219,1
UTT462,1
